Date,Event_Description,Event_Type
1990-08-02,Gulf War begins (Iraq invades Kuwait),Geopolitical
1991-01-17,Operation Desert Storm begins,War 
1997-07-02,Asian Financial Crisis,Economic
2001-09-11,9/11 Terrorist Attacks,Geopolitical
2003-03-20,US Invasion of Iraq,War
2008-07-11,Oil Price Peak (Financial Crisis pre-crash),Economic
2008-09-15,Lehman Brothers Collapse (Financial Crisis),Economic
2011-02-15,Libyan Civil War begins (Arab Spring),Geopolitical
2014-11-27,OPEC refuses to cut production (Price crash),OPEC Policy
2016-01-16,Lifting of Iran Sanctions,Sanctions
2016-11-30,OPEC cuts production (Vienna Agreement),OPEC Policy
2020-03-08,Saudi-Russia Price War begins,Geopolitical
2020-04-20,"Black Monday" (Oil demand collapse due to COVID),Economic
2022-02-24,Russia invades Ukraine,Geopolitical
